,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
"Carib","Pemon (AOC) IPA (All entries from CA1981)","Armellada, Cesáreo 1981. Karina Baeza; Edwards 1980. Melody A Ross. Edwards 1977. Melody A Ross","akuri (E1980)",,"akare (E1977)","aʊra (E1980)","kaiwak; kiawɔk (E1980)","iɾak; kaŋkaruʔma (E1980)","maʊraɪö, kaɪkaŋ  (E1980)","maɾipak; marpak (E1980)","wan; töusaŋ (E1980)","wi; amaŋ (E1980)",,"rɪ-kʊ-tʊn","kata, anaɾva; ariʔtö (E1980)","pakira (E1980)",,"kɾitʃa; kiriʔtʃa (E1980)"," waɪkinimö (E1980)","peɾo, aɾimaɾaka","peɾo, aɾimaɾaka",,"maiwak; maɪkwak (E1980)","karimura (E1980)","moɾok","kurupa'sauʔa","tʃipuen","kotʃiɾima; kɔtʃirimö (E1980)",,"seneik; ariʎak (E1980)","iwarwana","araʊta (E1980)","tukui, wadawada; tukuɪk (E1977)","waʎamaka (E1980)","tɨmɛnnɛŋ (E1980)",,"namai","wara; erɛʔkö (E1980)",,,"woɾa, wokiɾa","iwarka (E1977)","sa'kaiʔka","paruwena (E1980)",,"adan; aʎaŋ (E1980)","waʎara (E1980)","uruʔturu (E1977)","mumpue; sarkaŋ","avare; aware (E1980)","aparuwa (E1980)","aparuwa (E1980)","wona; töpɔɪk, kuk-kuk (E1980)","kavak; kawak (E1980)","supaɾa, kaɾivina, kaɾataka","pakira (E1980)",,"aru (E1980)","parantaraɪ (E1980)","mʊŋpö (E1980)","savivi; ɔnɔre (E1980)",,"nupi , kuaran; kwaraŋ (E1980)","waimesa","okoi; ököɪ (E1980)","sakasak (E1980)","wara; erɛʔkö (E1980)","kari-kari; kari (E1980)","waiɾa, maikuɾi","tʃirima, tʃiripra; kuŋwaɪk (E1980)","wadamori; waʎamɔri, peɪtura (E1980)","kiarue, wa; kiapɔk (E1980)","aŋwana (E1977)","kankepan, tempi; tapiʎuka (E1977)",,"saperetɛk (E1980)",,,"iwarka (E1977)",,"moto, sapaipɾau, patiɾi","wakau","manaiɾak, okoipase; ököɪpase (E1980)","masarva; kɔrɔri (E1980)","maʔwaɪ (E1980)","mada; werutʃi (E1980)","pirimɔl (E1980)","pirimɔk (E1977)","mateu","sape","marite; maritö (E1980)","koime; kuɪwa (E1980)","aɾai",,"kaɾimateks; kɔpari, kariʔmatɔk (E1980)","peɾeteku;  ampak, tʃinaʊ (E1980)",,,,,,,,,,,
"Carib","Waimiri Atroari (orthographic)","Bruno, 2004. Melody A Ross","axiwi",,"iake",,,,"akenbehe (priodents Maxims) kabaha (Dasypus sp.)","inaxixi","panana",,,,"danja",,,,"seweri","naminja",,"amana",,,"xiba",,,,,,,"arawata",,,"temere",,,,,,,"kwata",,"tabe'e","waryna","wymy","maba",,,,,,,"kyrywaky",,,"maryma",,,,,,,,"kyrywy",,,,"mepry","sana","waiama (tortoise), warara (turtle)",,,,,,,,,,"kadjiwi (generic worm)","peepe",,,"sady",,,,,"poopo",,,,,,"pyryry (frog)",,,,,,,,,,,
"Carib","Waimiri Atroari (phonemic)","Bruno, 2004. Melody A Ross","aʃiwi",,"yakɛ",,,,"akenbehe (priodents Maxims) kabaha (Dasypus sp.)","inaʃiʃi","panana",,,,"daɲa",,,,"suweri","namiɲa",,"amana",,,"ʃiba",,,,,,,"arawata",,,"temere",,,,,,,"kwata",,"tabɛʔɛ","warɨna","wɨmɨ","maba",,,,,,,"kɨrɨwakɨ",,,"marɨma",,,,,,,,"kɨrɨwɨ",,,,"meprɨ","sana","waiama (tortoise), warara (turtle)",,,,,,,,,,"kadʒiwi (generic worm)","peːpe",,,"sadɨ",,,,,"poːpo",,,,,,"pɨrɨrɨ (frog)",,,,,,,,,,,
"Cariban","Yabarana (phonemic)","Méndez Arocha, A. 1959. Un vocabulario yabarana con apuntes fonémicos. Antropológica 7: 63-84. AP",,,"kai'mana",,,"ah'naw",,"rere","wənə",,"sájua",,,,,,"jaka","weroro",,"muna","o'ro'pono",,,,"sápuhmo, səuh'pəmə","mohko",,"wa'rawa",,,,"ju'wana",,,,,,,"ku'jui",,,,,"ka'jamə",,,,,,,,"noro","mahapa'raru",,"sampu",,,,,"pɨrɨ'tɨkɨ, wərewerə",,,"ə'kəi",,,,"wa'jari","moremə","tur'tuka, 'kani",,,,,,,,,,,,,,"kaja'kani",,,,,"tiwipihpa",,"memu","a'raja, mua'josti","su'pari",,"pəru",,,,,,,,,,,
"Cariban","Yukpa (orthographic)","Vegamian, Félix María de 1978. Diccionario ilustrado yupa-español, español-yupa, con onomástica y apuntaciones gramaticales. Guarenas/Caracas: Formateca. AP",,,"ariye",,"keyabu",,"kamájiru","pichikacha","apúchare",,"korükü",,"áname, tebre",,,"pusuna","amusa","peru",,"jape","pato (Spanish loan)",,,,,"ársimo",,,,,"kuijna","ayamaka",,,,"ayujpa",,,,,,,,"kuaye",,,"atusa",,"petara","sarora","kotre","vaucha","kojatia",,,"kúsara",,,"sabre",,"uaí","kunájiri","kiripo",,,"kírikri",,,"morokü, morokuo","koajka",,,,,,,"sürürü",,,,,"kérasu","bayáramo",,"sarikane",,,"kánachue","akúrichi, akúriti/e",,"araya","maschi","jaja",,,,,,,,,,,,
"Cariban","Yukpa (phonemic)","Robayo, 2000 in González de Pérez, M. S. and M. L. Rodríguez de Montes (eds.). 2000. Lenguas indígenas de Colombia: una visión descriptiva. M. S. Bogotá: Instituto Caro y Cuervo. AP",,,,,,,,,,,,,,,,,,"pets̺u",,,,,"po'ʂe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ko'nena",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arawak","Achagua (mm98) Phono","Meléndez Lozano, Miguel Ángel. 1998a. La lengua achagua, estudio gramatical. Lenguas Aborígenes de Colombia, Descripciones, 11. Santafé de Bogotá: CCELA, UNIANDES. AP",,,"katʃúiɻi (hr01)",,"ké:ʃi (h&r)",,"tʃé: (dp91)",,"má:ba",,,,,,,,,"áuli",,,,,"kubái  (dp91)",,,"sá:ru",,,,,,,"tʃá:wi (hr01)",,,"kuliri","sarabada",,,,,,,"witeniʃi",,,"í:ʒi (dp91), í:ɻi (hr01)",,,"yewi",,,,"áhitʃa (dp91)",,,,,,,,"dú:ru 'lizard sp.'","á:pi   (dp91), ái",,,,"é:ma (hr01)","kamaɽa (rw)","ʃip[ánu][li] (dp91)",,,"áini",,"walápueri",,,,,," á:tutuma",,"pirítu",,,,,,,,,"é:ni",,,,,,,"
","
",,,,,,
"Arawak","Achagua (mm98) Ortho","Person entering data: AP",,,"katʃúiɻi (hr01)",,"kéeʃi (h&r)",,"tʃée (dp91)",,"máaba",,,,,,,,,"áuli",,,,,"kubái  (dp91)",,,"sá:ru",,,,,,,"tʃáawi (hr01)",,,"kuliri","sarabada",,,,,,,"witeniʃi",,,"íiʒi (dp91), íiɻi (hr01)",,,"yewi",,,,"áhitʃa (dp91)",,,,,,,,"dú:ru 'lizard sp.'","áapi   (dp91),ái",,,,"éema (hr01)","kamaɽa (rw)","ʃip[ánu][li] (dp91)",,,"áini",,"walápueri",,,,,," á:tutuma",,"pirítu",,,,,,,,,"é:ni",,,,,,,"
","
",,,,,,
"Aɾawak","Piapoco (dk95) Phono","Klumpp, Deloris Pharris de. 1995. Vocabulario piapoco-español. Bogotá: ILV.","pí:si  (dp91)",,"katsúiɾi (hɾ01), katʃuíɾi",,"kuwé:","mané","tʃèe  (dp91)","iwàju","má(a)ba",,"káwi","pùwài (dp91), wàkuì","tʃijéintʃijéin",,"kapìsi (dp91)","pìidu 'gɾillo del monte'","né:ɾi","áuli jé:nibe wàlisài","jàlidu",,"kumàta",,"kubái  (dp91)",,"jé:ni","mutùsi, sálu 'oso palmeɾo'","kabàlu","tʃí:jàali",,,"sípi","tʃàmanàli","tsá(a)wi (hɾ01), katànèeɾi tʃáwi",,,,"sàlabàda",,"màalài",,"tʃalìɾi","qué:su","tába","kùlibàu",,,"íɾi (dp91)",,"jé:wi","matʃé:ɾuli",,"dùlewasíwa","kùuseɾe","apìtʃa  (dp91)","uma[i]  (dp91), umái","tʃála",,,"má:li","pulèwiu","ínuíɾi","túpu 'lagaɾto', túpu atʃúmé:ɾí:na 'lagaɾtija'","á:pi   (dp91), àapi",,,"matèɾi","é(e)ma","kàmala","tʃip[áni][lu] (dp91), ikùli 'moɾɾocoy', tʃapànilu, ála","tʃáse",,"áini",,"jàalubái imàní:ɾinái ",,,,,"dúli",,"tʃìlitʃili é:wé:ɾi","alàaba","mása","unùku","kú:mélu","màatʃùba 'laɾva', alijáiɾi 'gusano comestible'","kú:de","má:dáwi","tʃália","kalàsu","èeni","itàanàa matʃàní:ɾi","kubàli","balùta",,,,"
","
",,,,,,
"Arawak","Piapoco (dk95) Ortho","Person entering data: AP","píisi  (dp91)",,"katsúiri (hr01), cachuíri",,"cuwée","mané","tʃèe  (dp91)","iwàyu","má(a)ba",,"cáwi","pùwài (dp91), wàcuì","chiyéinchiyéin",,"kapìsi (dp91)","pìidu","néeri","áuli yéenibe wàlisài","yàlidu",,"cumàta",,"kubái  (dp91)",,"yéeni","mutùsi, sálu 'oso palmero'","cabàlu","chíiyàali",,"ìisi, àlawàta","sípi","chàmanàli","tsá(a)wi (hr01), catànèeri cháwi",,,,"sàlabàda",,"màalài",,"chalìri","kéesu","tába","cùlibàu",,,"íri (dp91)",,"yéewi","machéeruli",,"dùlewasíwa","cùusere","apìtʃa  (dp91)","uma[i]  (dp91), umái","chála",,,"máali","pulèwiu","ínuíri","túpu 'lagarto', túpu achúméeríina 'lagartija'","áapi   (dp91), àapi",,,"matèri","é(e)ma","càmala","tʃip[áni][lu] (dp91), icùli 'morrocoy', chapànilu, ála","cháse",,"áini",,"yàalubái imàníirinái (yàalubái 'furniture', imàníirinái 'someone who make sth' )",,,,,"dúli",,"chìlichili éewéeri (chìlichili '?', éewéeri 'amarillo')","alàaba","mása","unùcu","cúumélu","màachùba 'larva', aliyáiri 'gusano comestible'","cúude","máadáwi","chália","calàsu","èeni","itàanàa machàníiri (itàanàa '?', machàníiri 'without power')","cubàli","balùta",,,,"
","
",,,,,,
"Arawak","Yucuna (sy05) Phono","Schauer, Junia, compiler, and others. 2005. Meke kemakánaka puráka7aloji: wapura7akó chu, eyá karíwana chu (Diccionario bilingüe: Yukuna - Español; Español - Yukuna). 1st ed. Bogotá: Editorial Fundación para el Desarollo de los Pueblos Marginados. 328 p","pitʃi (dp91)","pʰitʃí","juhɾemi, lánawaɾu ; caimán gɾande', kahjú","pijuté","kuhwé","mané","jeʔé  (dp91)","pihiɾí","mápa, munumunú 'abeja de mel'","hewé",,"põʔí (hr01), waʔakú",,"apijé","kapíθi (hr01), kapihi","wawaʔá, haɾaʔajú (there are more species)","kawajá","walú",,"hamaná keɾani","kumalá","kapi","kúpe  (dp91)",,"kawaʔahné","haɾu, saɾu","kapaɾú","kapana 'especie más gɾande', kalapitʃi peɾí","juʔuwé","hímuʔu","piʔimí","maɲao","jáwi (hr01)",,"majá","jutʃi 'bagre, capaz'","aneɾi, haneɾi",,"maʔaɾé","kuwatá","kaɾiʔitʃé","kehu, kesu","kuwahaɾi",,"laʔaɾú","juwaɾawá","hiɾí (dp91)",,"iɲewi, hiɲewi","apatuhmé","pupú","pakoɾó","jaɾiwapu (Crypturellus erythropus)","apijé  (dp91), heʔeɾú ehaʔawá eʔijahé","maí","waputʃi","humaneʔené",,"huwa",,"mulu","lupu, paɾajú","heina",,,"ihjé","héma (hr01)","kamaɾa 'comején blanco', kaɾí, jamutʃi","ipú (dp91), ijaɾi, hijaɾi 'toɾtuga teɾɾestɾe'","jahe, jase",,"hai","kutʃí 'paujil', wepana 'paujil de rebalso'","meɾaʔaní, meɾaʔamí",,,"kalapitʃi",,,"kaihmeɾu","haʔakuɾú","jawitʃóɾoʔoko","hipóɾoʔohi, ipóɾoʔohi","ukuʔukuɾi 'paloma toɾcaz' (Columba subvinacea)","hiɲapuɾí",,"kute 'lucienarga mediana', puhijú, pujahnetʃí 'lucienarga pequeña'","paʔahɾú","ipihí, ipihɾí, ipisí","waɾoɾo","hẽí-ta, kati","nukumi, hiɲa iwaká","hemakupahu 'garrapata grande' (hema 'tapir', kupahu '?'), puhuta 'g. mediana', muʔutujú 'g. muy pequena'","kuɾuɾú",,,,"
","
","
",,,,,
"Arawak","Yucuna (sy05) Ortho","Person entering data: AP","pitʃi (dp91)","phichí","yujremi, lánawaru ; caimán grande', kajyú","piyuté","kujwé","mané","ye'é","pijirí","mápa, munumunú 'abeja de mel'","jewé",,"põʔí (hr01), waʔakú",,"apiyé","kapiji","wawa'á, jara'ayú (there are more species)","kawayá","walú",,"jamaná kerani (jamaná 'dolphin', kerani 'red' )","kumalá","kapi","kúpe  (dp91)",,"kawa'ajné","jaru, saru","kaparú","kapana 'especie más grande', kalapichi perí","yu'uwé","jímu'u 'Alouatta seniculus' ","pi'imí","mañao","yawi",,"mayá","yuchi 'bagre, capaz'","aneri, janeri",,"ma'aré","kuwatá","kari'iché","keju, kesu","kuwajari",,"la'arú","yuwarawá","jirí",,"iñewi, jiñewi","apatujmé","pupú","pakoró","yariwapu","apijé  (dp91), je'erú eja'awá e'iyajé (je'erú 'pig',eja'awá 'forest',e'iya ' posp. in')","maí","wapuchi","jumane'ené",,"juwa",,"mulu","lupu, parayú","jeina",,,"ijyé","jema","kamara 'comején blanco', karí, yamuchi","ipú (dp91), iyari, jiyari 'tortuga terrestre'","yaje, yase",,"jai","kuchí 'paujil', wepana 'paujil de rebalso'","mera'aní, mera'amí",,,"kalapichi",,,"kaijmeru","ja'akurú","yawichóro'oko","jipóro'oji, ipóro'oji","uku'ukuri 'paloma torcaz' (Columba subvinacea)","jiñapurí",,"kute 'lucienarga mediana', pujiyú, puyajnechí 'lucienarga pequeña'","pa'ajrú","ipijí, ipijrí, ipisí","waroro","kati","nukumi, jiña iwaká","hemakupaju 'garrapata grande', pujuta 'g. mediana', mu'utuyú 'g. muy pequena'","kururú",,,,"
","
","
",,,,,
"Arawak","Tariana (aa01) Phono","Aikhenvald, Alexandra Y. 2001. Dicionário Tariana-Português e Português-Tariana. Boletim do MPEG 17/1. Belém.","*pítʃi  (dp91), pʰítʃi ",,"káːs[iɾi] (dp91)",,"dáːne, maːki, kéːsu","máne","jéː  (dp91), hemápiɾi 'tatu canastra'","písiɾi","má:pa",,,"púːwe (dp91)",,"jamulitú, ɲamulitú","kapísi (dp91)",,"néɾi, néːɾi","tʃínu",,"amána","kamída 'marreco', kumaːda, kumáda awakadite 'pato-do-mato'","dakása","kupʰe, kuːpʰe",,"kawháneɾe","ãtẽ, sálu 'tamanduá bandeira'","kápaɾu","dukúlipʰe péɾi 'gavião' péɾi '?'",,"ítʃi","kúːɾipimi","káːsiwa","siin[u]  (dp91), deːɾipʰína 'onça pintada, jáwi 'onça'","dapíwaɾi, hulínali","áːsine","hemúki 'mandí-urutú, kaiwátʃi, kewátʃi 'mandi-bandeira'",,,"maːɾe",,"jáːliɾu","hemasiéɾe, hemasiéle","dáːpa",,"ãdaɾu ","pákamu","híɾi (dp91)","ínaɾi","pidú","ɲéːwi","púpuli 'coruja', makúwe, makúve 'courja-de-orelha'","awíɲa wáɾu, awíɲa-wáɾu-ni 'papagaio moleiro'","máːmi","ampiá  (dp91), apijá kesaníte ","uʔumá[i]  (dp91)","jáːɾa",,,"mali",,,"dúpu","api   (dp91), mawáli 'cobra, verme'","áːpi, ãpi","daɾúju, kulíɾi",,"héma","kamáɾa","íkuli, itʃída 'jabuti do mato'","jáːse, íja-jáːse 'tucano-de-peito-amarelo'","wájuɾi 'urubu', éːta 'urubu-rei'","ainí",,,,,"hálo","áini","tsũdeɾi, umapí",,"amáɾu sápale","dapátaɾu, ihída",,"keɾáwi ulítu 'pomba-pedrês' 'ulítu ' pomba preta' ","ɲápuɾi","wépaɾi, júɾu",,,,,"éːni, ewanapáli","hajámaɾu",,"hípaɾu, káma, mulítu",,,,"
","
","
",,,,,
"Arawak","Tariana (aa01) Ortho","Person entering data: AP","*píči  (dp91), phíči",,"káːs[iɾi] (dp91)",,"dáːne, maːki, kéːsu","máne","yéː  (dp91), hemápiɾi 'tatu canastra'","písiɾi","má:pa",,,"púːwe (dp91)",,"yamulitú, ɲamulitú","kapísi (dp91)",,"néɾi, néːɾi","čínu",,"amána","kamída 'marreco', kumaːda, kumáda awakadite 'pato-do-mato'","dakása","kuphe, kuːphe",,"kawháneɾe","ãtẽ, sálu 'tamanduá bandeira'","kápaɾu","dukúliphe péɾi 'gavião'",,"íči","kúːɾipimi","káːsiwa","siin[u]  (dp91), deːɾiphína 'onça pintada, yáwi 'onça'","dapíwaɾi, hulínali","áːsine","hemúki 'mandí-urutú, kaiwáči, kewáči 'mandi-bandeira'",,,"maːɾe",,"yáːliɾu","hemasiéɾe, hemasiéle","dáːpa",,"ãdaɾu ","pákamu","híɾi (dp91)","ínaɾi","pidú","ɲéːwi","púpuli 'coruya', makúwe, makúve 'courya-de-orelha'","awíɲa wáɾu, awíɲa-wáɾu-ni 'papagaio moleiro'","máːmi","ampiá  (dp91), apiyá kesaníte ","uʔumá[i]  (dp91)","yáːɾa",,,"mali",,,"dúpu","api   (dp91), mawáli 'cobra, verme'","áːpi, ãpi","daɾúyu, kulíɾi",,"héma","kamáɾa","íkuli, ičída 'yabuti do mato'","yáːse, íya-yáːse 'tucano-de-peito-amarelo'","wáyuɾi 'urubu', éːta 'urubu-rei'","ainí",,,,,"hálo","áini","tsũdeɾi, umapí",,"amáɾu sápale","dapátaɾu, ihída",,"keɾáwi ulítu ","ɲápuɾi","wépaɾi, yúɾu",,,,,"éːni, ewanapáli","hayámaɾu",,"hípaɾu, káma, mulítu",,,,"
","
","
",,,,,
"Arawak","Baniwa (hr01a) Phono","Ramirez, Henri. 2001a. Dicionário Baniwa-Português. Manaus: Editora da Universidade do Amazonas.","phíitsi","póot̪o","kátshiɻi","omáwaɺi","kóowhe","mánee, t̪oowiápa","dzeʔé  (dp91), aaɺídaɺi, adzána (theɻe aɻe moɻe names)","píit̪iɻi, wajáamani, waaɻóda","máapa","dzoɺéema, pókoɻo","áakooɻo","púwe","tsíida","dzamoɺíto","kapit̪i ","pít̪o, dzíiɻo","néeɻi, dóito","tsíino","dzamapoípoi","amána","kamidátsoɺo, koomáda, póopoɲa","dakát̪a","kúpʰe","hóoma, páɻa","kawánheɻo","t̪áaɻo","káapaɻo","péeɻi","dzoówe","íitsi","pími",,"dzáawi",,"at̪íne","dzáaɺio, hemóki (theɻe aɻe otheɻs)","iiwíto, káat̪ama (theɻe aɻe otheɻs)","íiniɻi, tóopoɻo","máɻe",,"dzáaɺiɻo","kéet̪o","dáapa","towída","áadaɻo","oni-hémani","híiɻi","waɺíitshi","ɲeewi","pídoo","bokókoɺi, póopoɺi","wáaɻo, koɺíkoɺi","hóhoɺi, keéɻawa, máami, jawiíɺi","aapídza, ampidzá","ómai",,"phiɺíphiɺi, páaɺe","dapéeda 'rato coró'","máaɺi",,"tsiikábo, wáamo","dóopo","áapi, ããpi  (hr01)","onikátshiɻe","koɺíɻi",,"héema (hr01)","kamáɻa, máaɻo","itsída 'jabuti', joɺáɺa 'tartaruga'","dzát̪e","wáadzoɺi","áini","kóitsi","kówhee",,,"háɺo","oɻóma, ówiaɺe","oomápi","makáɺo",,"poɺéta, aɻáwe","kaátsi","iɲáida","ɲepoɺi","íiʃeni","tóoke, aawít̪i","tháaɻa","dzáɺee","keɻát̪o, tsikówa","éeni","ɲámaɻo","kóopaɺi","adaɻoit̪ípi, híipaɻo (there are others)",,,,"
","
","
",,,,,
"Arawak","Baniwa (hr01a) Ortho","Person entering data: AP","phíitsi","póotto","kátshiri","omáwali","kóowhe","mánee, ttoowiápa","dzeʔé  (dp91), aalídali, adzána (there are more names)","píittiri, wayáamani, waaróda","máapa","dzoléema, pókoro","áakooro","pówe","tsíida","dzamolíto","kapítti","pítto, dzíiro","néeri, dóito","tsíino","dzamapoípoi","amána","kamidátsolo, koomáda, póopoña","dakátta","kóphe","hóoma, pára","kawánhero","ttáaro","káaparo","péeri","dzoówe","íitsi","pími",,"dzáawi ",,"attíne","dzáalio, hemóki (there are others)","iiwíto, káattama (there are others)","íiniri, tóoporo","máre",,"dzáaliro","kéetto","dáapa","towída","áadaro","oni-hémani","híiri","walíitshi","ñeewi","pídoo","bokókoli, póopoli","wáaro, kolíkoli","hóholi, keérawa, máami, yawiíli","aapídza","ómai",,"philíphili, páale","dapéeda 'rato coró'","máali",,"tsiikábo, wáamo","dóopo","áapi, ããpi  (hr01)","onikátshire","kolíri",,"héema (hr01)","kamára, máaro","itsída 'jabuti', yolála 'tartaruga'","dzátte","wáadzoli","áini","kóitsi","kówhee",,,"hálo","oróma, ówiale","oomápi","makálo",,"poléta, aráwe","kaátsi","iñáida","ñepoli","íixeni","tóoke, aawítti","tháara","dzálee","kerátto, tsikówa","éeni","ñámaro","kóopali","adaroittípi, híiparo ",,,,"
","
","
",,,,,
"Arawak","Resígaɾo (ta79) Phono","Allin, Trevor R .1979. Vocabulario resígaro.  Documento de Trabajo, 16.","pʰíiʔtsí  (dp91)",,"pegíinú",,"huduúgí, kófé (edible ones)",,"tsaʔi  (dp91), dʒóʔnó","pitsʰíigí","mápú, maápú",,,,,"hapíitsú","kapiítsʰi (dp91)","tsiiʔtsiʔó","keéʔʃé","íiní",,"hamaánú",,,"ámoogí",,"kaʔvátsí","monóotsí (small), piígí",,,,"oovú","píʔmí","maañáʔo","íiní  (dp91)",,"déeneʔé","kapiníigí",,,,,,"hoʔbú","naápú","netetsʰíʔó",,,"hiigí (dp91), tʲúukó","itsíigí",,"husóodó","popóogí","dʒoódú","haagú 'peɾdiz', kádatú 'gallina'","hapíitsu  (dp91), aevíidógí","epókó ",,,,"dʒoimokóʔto",,"potsʰáadó","sovidákó","onáʔkó",,,"meníigí","aóogí","kamaádú","haádahí","bedʒiiʔí",,"haánimiínú","kovíitsí","tsʰoófú 'laɾge woodpeckeɾ'",,"pitsʰéedó",,,"omáapí",,,"toodóhí",,"híhuuu",,"eniítsí, naʔí, otsóomú ' edible laɾva'",,"tʲóʔotʲóbú","epíitsʰí (=axe)",,"paagáú",,"kopáagí","todokáakú",,,,"
","
","
",,,,,
"Arawak","Resígaro (ta79) Ortho","Person entering data: AP","phíi?tsí  (dp91)",,"pegíinú",,"huduúgí, kófé (edible ones)",,"tsa?i  (dp91), ǰó?nó","pitshíigí","mápú, maápú",,,,,"hapíitsú","kapiítshi (dp91)","tsii?tsi?ó","keé?sˇé","íiní",,"hamaánú",,,"ámoogí",,"ka?vátsí","monóotsí (small), piígí",,,,"oovú","pí?mí","maañá?o","íiní  (dp91)",,"déene?é","kapiníigí",,,,,,"ho?bú","naápú","netetshí?ó",,,"hiigí (dp91), tyúukó","itsíigí",,"husóodó","popóogí","ǰoódú","haagú 'perdiz', kádatú 'gallina'","hapíitsu  (dp91), aevíidógí (aevíi? 'many')","epókó ",,,,"ǰoimokó?to",,"potsháadó","sovidákó","oná?kó",,,"meníigí","aóogí","kamaádú","haádahí","beǰii?í",,"haánimiínú","kovíitsí","tshoófú 'large woodpecker'",,"pitshéedó",,,"omáapí",,,"toodóhí",,"híhuuu",,"eniítsí, na?í, otsóomú ' edible larva'",,"tyó?otyóbú","epíitshí (=axe)",,"paagáú",,"kopáagí","todokáakú",,,,"
","
","
",,,,,
"Arawak","Kabiyari (hr01) Phono","Ramirez, Henri. 2001. Línguas Arawak da Amazônia setentrional: comparação e descrição. Manaus: Editora da Universidade","phíit̪i","púut̪u","ka:tʃu[ɾi] (dp91), kátʃhuɾi",,"kúuhe","máne","tʃéʔe (hɾ01)","pít̪iɾi","máapa","púkuɾu","kuɾúpí, pút̪aɾu",,,,"kápit̪i (hɾ01)","pitú","néeɾi",,,"ámana","kúmana","kápi","kúpha",,"t̪itú, kawá","t̪áaɾu, páapaɾi (Cyclopes)","kápaɾu","péeɾi",,"íit̪i","pími",,"tʃáawi (hɾ01)",,"máatʃaɾi","káwetí","kát̪ama, áneɾi, ketʃapúkuɾi, íwitu",,"máɾa",,"tʃáɾiɾi","kéet̪u","náapa","nií","naɾú",,"híiɾi (hɾ01)","t̪iíɾí","jéewi","píinu","púpuɾi","wáaɾu","máami","pitʃá  (hɾ01)","máa",,,,,"mápiɾi","pút̪aɾu","núupu","apí   (dp91)",,"kúɾiɾi","máane-ɾi, hítʃhe","héema (hɾ01), ʔeema (dp91)","kámaɾa","tʃúɾi, áaaɾa","tʃáate","wátʃuɾi",,"kúut̪i",,,,"kánapit̪i",,,"káawi",,,,,,,,,"tʃáɾe",,"éeji","jatúɾí",,"ɾuuɾú",,,,"
","
","
",,,,,
"Arawak","Kabiyari (hr01) Ortho","Person entering data: AP","phíit̪i","púut̪u","ka:tʃu[ri] (dp91), kátʃhuri",,"kúuhe","máne","tʃéʔe (hr01)","pít̪iri","máapa","púkuru","kurúpí, pút̪aru",,,,"kápit̪i (hr01)","pitú","néeri",,,"ámana","kúmana","kápi","kúpha",,"t̪itú, kawá","t̪áaru, páapari (Cyclopes)","káparu","péeri",,"íit̪i","pími",,"tʃáawi (hr01)",,"máatʃari","káwetí","kát̪ama, áneri, ketʃapúkuri, íwitu",,"mára",,"tʃáriri","kéet̪u","náapa","nií","narú",,"híiri (hr01)","t̪iírí","jéewi","píinu","púpuri","wáaru","máami","pitʃá  (hr01)","máa",,,,,"mápiri","pút̪aru","núupu","apí   (dp91)",,"kúriri","máane-ri, hítʃhe","héema (hr01), ʔeema (dp91)","kámara","tʃúri, áaara","tʃáate","wátʃuri",,"kúut̪i",,,,"kánapit̪i",,,"káawi",,,,,,,,,"tʃáre",,"éeji","jatúrí",,"ruurú",,,,"
","
","
",,,,,
